Density;Run;Size;Create Time;Rank Time;Select Time;Rank Time NC;Select Time NC
0.01;2048;1307635;8.2176;1785.54;1851.17;1794.76;1787.81
0.05;2048;4417966;48.1456;3829.19;4041.61;3823.99;3744.22
0.1;2048;7548176;104.127;6221.46;6475.74;6219.4;6108.17
0.01;4096;1347982;11.3982;8206.09;8221.01;8204.46;8197.66
0.05;4096;4382409;47.6786;8314.98;8346.43;8276.37;8244.48
0.1;4096;7526726;95.2908;8511.49;8575.66;8340.35;8289.97
0.01;8192;1166592;6.6199;8594.1;8641.21;8422.73;8320.64
0.05;8192;4367619;45.3092;8723.08;8782.7;8503.98;8370.54
0.1;8192;7514304;96.7312;8930.51;9007.05;8573.35;8412.58
