ID;TestType;BufferSize;Probabilitie;ZerosRunSize;OnesRunSize;TestCount
123;Random Runs;2048;0.3;4096;4096;0
124;Random Runs;2048;0.4;4096;4096;0
125;Random Runs;2048;0.5;4096;4096;0
126;Random Runs;2048;0.6;4096;4096;0
127;Random Runs;2048;0.7;4096;4096;0
128;Random Runs;2048;0.8;4096;4096;0
129;Random Runs;2048;0.9;4096;4096;0
130;Random Runs;2048;0.05;8192;8192;0
131;Random Runs;2048;1;8192;8192;0
132;Random Runs;2048;0.1;8192;8192;0
133;Random Runs;2048;1.1;8192;8192;0
134;Random Runs;2048;1.2;8192;8192;0
135;Random Runs;2048;0.2;8192;8192;0
136;Random Runs;2048;0.3;8192;8192;0
137;Random Runs;2048;0.4;8192;8192;0
138;Random Runs;2048;0.5;8192;8192;0
139;Random Runs;2048;0.6;8192;8192;0
140;Random Runs;2048;0.7;8192;8192;0
141;Random Runs;2048;0.8;8192;8192;0
142;Random Runs;2048;0.9;8192;8192;0
143;Poisson Runs;2048;0.05;2048;2048;0
144;Poisson Runs;2048;1;2048;2048;0
145;Poisson Runs;2048;0.1;2048;2048;0
146;Poisson Runs;2048;1.1;2048;2048;0
147;Poisson Runs;2048;1.2;2048;2048;0
148;Poisson Runs;2048;0.2;2048;2048;0
149;Poisson Runs;2048;0.3;2048;2048;0
150;Poisson Runs;2048;0.4;2048;2048;0
151;Poisson Runs;2048;0.5;2048;2048;0
152;Poisson Runs;2048;0.6;2048;2048;0
153;Poisson Runs;2048;0.7;2048;2048;0
154;Poisson Runs;2048;0.8;2048;2048;0
155;Poisson Runs;2048;0.9;2048;2048;0
156;Poisson Runs;2048;0.05;4096;4096;0
157;Poisson Runs;2048;1;4096;4096;0
158;Poisson Runs;2048;0.1;4096;4096;0
159;Poisson Runs;2048;1.1;4096;4096;0
160;Poisson Runs;2048;1.2;4096;4096;0
161;Poisson Runs;2048;0.2;4096;4096;0
162;Poisson Runs;2048;0.3;4096;4096;0
163;Poisson Runs;2048;0.4;4096;4096;0
164;Poisson Runs;2048;0.5;4096;4096;0
165;Poisson Runs;2048;0.6;4096;4096;0
166;Poisson Runs;2048;0.7;4096;4096;0
167;Poisson Runs;2048;0.8;4096;4096;0
168;Poisson Runs;2048;0.9;4096;4096;0
169;Poisson Runs;2048;0.05;8192;8192;0
170;Poisson Runs;2048;1;8192;8192;0
171;Poisson Runs;2048;0.1;8192;8192;0
172;Poisson Runs;2048;1.1;8192;8192;0
173;Poisson Runs;2048;1.2;8192;8192;0
174;Poisson Runs;2048;0.2;8192;8192;0
175;Poisson Runs;2048;0.3;8192;8192;0
176;Poisson Runs;2048;0.4;8192;8192;0
177;Poisson Runs;2048;0.5;8192;8192;0
178;Poisson Runs;2048;0.6;8192;8192;0
179;Poisson Runs;2048;0.7;8192;8192;0
180;Poisson Runs;2048;0.8;8192;8192;0
181;Poisson Runs;2048;0.9;8192;8192;0
182;Random;4096;0.05;1;1;0
183;Random;4096;1;1;1;0
184;Random;4096;0.1;1;1;0
185;Random;4096;1.1;1;1;0
186;Random;4096;1.2;1;1;0
187;Random;4096;0.2;1;1;0
188;Random;4096;0.3;1;1;0
189;Random;4096;0.4;1;1;0
190;Random;4096;0.5;1;1;0
191;Random;4096;0.6;1;1;0
192;Random;4096;0.7;1;1;0
193;Random;4096;0.8;1;1;0
194;Random;4096;0.9;1;1;0
195;Random Runs;4096;0.05;2048;2048;0
196;Random Runs;4096;1;2048;2048;0
197;Random Runs;4096;0.1;2048;2048;0
198;Random Runs;4096;1.1;2048;2048;0
199;Random Runs;4096;1.2;2048;2048;0
200;Random Runs;4096;0.2;2048;2048;0
201;Random Runs;4096;0.3;2048;2048;0
202;Random Runs;4096;0.4;2048;2048;0
203;Random Runs;4096;0.5;2048;2048;0
204;Random Runs;4096;0.6;2048;2048;0
205;Random Runs;4096;0.7;2048;2048;0
206;Random Runs;4096;0.8;2048;2048;0
207;Random Runs;4096;0.9;2048;2048;0
208;Random Runs;4096;0.05;4096;4096;0
209;Random Runs;4096;1;4096;4096;0
210;Random Runs;4096;0.1;4096;4096;0
211;Random Runs;4096;1.1;4096;4096;0
212;Random Runs;4096;1.2;4096;4096;0
213;Random Runs;4096;0.2;4096;4096;0
214;Random Runs;4096;0.3;4096;4096;0
215;Random Runs;4096;0.4;4096;4096;0
216;Random Runs;4096;0.5;4096;4096;0
217;Random Runs;4096;0.6;4096;4096;0
218;Random Runs;4096;0.7;4096;4096;0
219;Random Runs;4096;0.8;4096;4096;0
220;Random Runs;4096;0.9;4096;4096;0
221;Random Runs;4096;0.05;8192;8192;0
222;Random Runs;4096;1;8192;8192;0
223;Random Runs;4096;0.1;8192;8192;0
224;Random Runs;4096;1.1;8192;8192;0
225;Random Runs;4096;1.2;8192;8192;0
226;Random Runs;4096;0.2;8192;8192;0
227;Random Runs;4096;0.3;8192;8192;0
228;Random Runs;4096;0.4;8192;8192;0
229;Random Runs;4096;0.5;8192;8192;0
230;Random Runs;4096;0.6;8192;8192;0
231;Random Runs;4096;0.7;8192;8192;0
232;Random Runs;4096;0.8;8192;8192;0
233;Random Runs;4096;0.9;8192;8192;0
234;Poisson Runs;4096;0.05;2048;2048;0
235;Poisson Runs;4096;1;2048;2048;0
236;Poisson Runs;4096;0.1;2048;2048;0
237;Poisson Runs;4096;1.1;2048;2048;0
238;Poisson Runs;4096;1.2;2048;2048;0
239;Poisson Runs;4096;0.2;2048;2048;0
240;Poisson Runs;4096;0.3;2048;2048;0
241;Poisson Runs;4096;0.4;2048;2048;0
242;Poisson Runs;4096;0.5;2048;2048;0
243;Poisson Runs;4096;0.6;2048;2048;0
244;Poisson Runs;4096;0.7;2048;2048;0
245;Poisson Runs;4096;0.8;2048;2048;0
246;Poisson Runs;4096;0.9;2048;2048;0
247;Poisson Runs;4096;0.05;4096;4096;0
248;Poisson Runs;4096;1;4096;4096;0
249;Poisson Runs;4096;0.1;4096;4096;0
250;Poisson Runs;4096;1.1;4096;4096;0
251;Poisson Runs;4096;1.2;4096;4096;0
252;Poisson Runs;4096;0.2;4096;4096;0
253;Poisson Runs;4096;0.3;4096;4096;0
254;Poisson Runs;4096;0.4;4096;4096;0
255;Poisson Runs;4096;0.5;4096;4096;0
256;Poisson Runs;4096;0.6;4096;4096;0
257;Poisson Runs;4096;0.7;4096;4096;0
258;Poisson Runs;4096;0.8;4096;4096;0
259;Poisson Runs;4096;0.9;4096;4096;0
260;Poisson Runs;4096;0.05;8192;8192;0
261;Poisson Runs;4096;1;8192;8192;0
262;Poisson Runs;4096;0.1;8192;8192;0
263;Poisson Runs;4096;1.1;8192;8192;0
264;Poisson Runs;4096;1.2;8192;8192;0
265;Poisson Runs;4096;0.2;8192;8192;0
266;Poisson Runs;4096;0.3;8192;8192;0
267;Poisson Runs;4096;0.4;8192;8192;0
268;Poisson Runs;4096;0.5;8192;8192;0
269;Poisson Runs;4096;0.6;8192;8192;0
270;Poisson Runs;4096;0.7;8192;8192;0
271;Poisson Runs;4096;0.8;8192;8192;0
272;Poisson Runs;4096;0.9;8192;8192;0
